Sex_female,Sex_male,Embarked,Deck,Title,Age,Fare,FamilySize,TicketGroupSize,Age,missingindicator_Age,Survived
0.0,1.0,0.0,7.0,0.0,,-0.3389856847547628,0.20000000000000004,0.16666666666666666,29.531933216168714,1.0,1
0.0,1.0,2.0,7.0,2.0,0.09838563091943356,-0.4297508508505802,0.0,0.0,31.0,0.0,0
0.0,1.0,2.0,7.0,2.0,-0.638802862160826,-0.4789986705430935,0.0,0.0,20.0,0.0,0
1.0,0.0,2.0,7.0,1.0,-1.5770427624447927,0.0005699037441964865,0.1,0.33333333333333337,6.0,0.0,1
1.0,0.0,0.0,7.0,1.0,-1.0409056765682403,-0.4155655662424492,0.1,0.16666666666666666,14.0,0.0,1
1.0,0.0,2.0,7.0,1.0,-0.2367000477534117,0.8774679747739967,0.0,0.16666666666666666,26.0,0.0,1
1.0,0.0,1.0,7.0,1.0,,-0.4823456097454973,0.0,0.0,29.531933216168714,1.0,1
0.0,1.0,2.0,7.0,2.0,-0.9068714050991022,-0.28631059931898795,0.20000000000000004,0.16666666666666666,16.0,0.0,0
1.0,0.0,1.0,7.0,1.0,-0.9068714050991022,-0.4823456097454973,0.0,0.0,16.0,0.0,1
1.0,0.0,2.0,3.0,1.0,-0.7058199978953951,-0.12788944791743623,0.20000000000000004,0.0,19.0,0.0,1
0.0,1.0,2.0,2.0,2.0,0.5004884453268479,0.3849897778488636,0.1,0.16666666666666666,37.0,0.0,0
0.0,1.0,2.0,7.0,2.0,0.9696083954688313,-0.4766079996842336,0.0,0.0,44.0,0.0,0
1.0,0.0,2.0,7.0,1.0,,-0.143507222504196,0.4,0.5,29.531933216168714,1.0,0
0.0,1.0,0.0,7.0,2.0,0.031368495184864516,-0.4923864273527087,0.0,0.0,30.0,0.0,0
0.0,1.0,2.0,7.0,2.0,0.4334713095922788,-0.38193743367338273,0.0,0.0,36.0,0.0,0
1.0,0.0,2.0,3.0,1.0,-0.9068714050991022,0.12297225171782182,0.1,0.0,16.0,0.0,1
0.0,1.0,2.0,3.0,2.0,0.8355741239996931,0.3745511526107379,0.1,0.0,42.0,0.0,1
1.0,0.0,1.0,7.0,1.0,,-0.48083088068932367,0.0,0.0,29.531933216168714,1.0,1
0.0,1.0,2.0,7.0,4.0,-0.16968291201884264,-0.38193743367338273,0.0,0.0,27.0,0.0,0
0.0,1.0,2.0,2.0,2.0,1.1706598026725383,0.36395187429089676,0.0,0.16666666666666666,47.0,0.0,0
0.0,1.0,2.0,7.0,2.0,-0.3707343192225498,-0.47955713125572313,0.0,0.0,24.0,0.0,0
0.0,1.0,2.0,7.0,2.0,0.2994370381231407,-0.1227887125729728,0.0,0.0,34.0,0.0,1
1.0,0.0,2.0,7.0,1.0,-0.7058199978953951,-0.4803527465175517,0.1,0.0,19.0,0.0,1
0.0,1.0,2.0,7.0,2.0,-0.638802862160826,-0.4541356936109508,0.0,0.0,20.0,0.0,0
0.0,1.0,2.0,7.0,2.0,,-0.3532493833670643,0.0,0.0,29.531933216168714,1.0,0
0.0,1.0,2.0,7.0,0.0,-1.3089742195065166,-0.09696946729728624,0.5000000000000001,0.8333333333333334,10.0,0.0,0
0.0,1.0,0.0,7.0,4.0,0.7015398525305551,-0.10039673304054772,0.0,0.0,40.0,0.0,0
0.0,1.0,2.0,7.0,2.0,0.09838563091943356,-0.38193743367338273,0.0,0.0,31.0,0.0,1
0.0,1.0,2.0,7.0,0.0,-1.7110770339139307,-0.09696946729728624,0.5000000000000001,0.8333333333333334,4.0,0.0,0
1.0,0.0,2.0,7.0,1.0,0.09838563091943356,-0.4803527465175517,0.0,0.0,31.0,0.0,0
0.0,1.0,2.0,7.0,2.0,-0.7058199978953951,-0.47955713125572313,0.0,0.0,19.0,0.0,0
1.0,0.0,2.0,7.0,1.0,-0.5047685906916879,-0.4823456097454973,0.0,0.0,22.0,0.0,1
0.0,1.0,0.0,7.0,2.0,,-0.043498766599682846,0.0,0.0,29.531933216168714,1.0,0
1.0,0.0,2.0,7.0,1.0,,-0.4861706831196731,0.0,0.0,29.531933216168714,1.0,0
0.0,1.0,2.0,7.0,2.0,-0.7728371336299641,-0.4766079996842336,0.0,0.0,18.0,0.0,1
0.0,1.0,0.0,7.0,2.0,-0.16968291201884264,-0.35412532516975054,0.1,0.16666666666666666,27.0,0.0,0
0.0,1.0,2.0,0.0,2.0,-0.10266577628427359,0.04838332092139389,0.0,0.0,28.0,0.0,1
1.0,0.0,1.0,7.0,1.0,,-0.4823456097454973,0.0,0.0,29.531933216168714,1.0,1
1.0,0.0,0.0,7.0,1.0,0.031368495184864516,-0.037680829997561435,0.0,0.16666666666666666,30.0,0.0,1
0.0,1.0,2.0,7.0,2.0,,-0.47955713125572313,0.0,0.0,29.531933216168714,1.0,0
0.0,1.0,2.0,7.0,2.0,-0.5717857264262569,0.7751472620147944,0.20000000000000004,0.6666666666666666,21.0,0.0,0
0.0,1.0,2.0,7.0,2.0,-0.03564864054970454,-0.4958136930959703,0.1,0.0,29.0,0.0,0
0.0,1.0,2.0,7.0,2.0,,-0.4766079996842336,0.0,0.0,29.531933216168714,1.0,0
0.0,1.0,1.0,7.0,2.0,,-0.4823456097454973,0.0,0.0,29.531933216168714,1.0,0
1.0,0.0,0.0,7.0,3.0,1.0366255312034003,-0.35412532516975054,0.1,0.16666666666666666,45.0,0.0,0
